legacy_number,full_name,birth_year,nationality,continent,rating
756,Kyle Walker,1990,English,Europe,8.0
806,Kieran Trippier,1990,English,Europe,7.5
818,Kyle Walker-Peters,1997,English,Europe,7.0
870,Pedro Porro,1999,Spaniard,Europe,8.5
803,Toby Alderweireld,1989,Belgian,Europe,8.0
819,Davinson Sanchez,1996,Colombian,South America,6.5
822,Juan Foyth,1998,Argentine,South America,7.0
853,Cristian Romero,1998,Argentine,South America,10.0
649,Ledley King,1980,English,Europe,8.5
778,Jan Vertonghen,1987,Belgian,Europe,8.5
863,Clement Lenglet,1995,French,Europe,7.5
875,Micky van de ven,2001,Dutch,Europe,8.5
709,Young-pyo Lee,1977,South Korean,Asia,7.0
751,Danny Rose,1990,English,Europe,8.5
836,Ryan Sessegnon,2000,English,Europe,6.0
874,Destiny Udogie,2002,Italian,Europe,10.0
