legacy_number,full_name,birth_year,nationality,continent,rating
779,Moussa Dembele,1987,Belgian,Europe,10.0
800,Harry Winks,1996,English,Europe,7.5
841,Pierre-Emile Hojbjerg,1995,Danish,Europe.8.0
864,Yves Bissouma,1996,Malian,Africa,10.0
784,Paulinho,1988,Brazilian,South America,7.5
832,Tanguy Ndombele,1996,French,Europe,8.5
861,Rodrigo Bentancur,1997,Uruguayan,South America,8.5
868,Pape Matar Sarr,2002,Senegalese,Africa,9.0
736,Luka Modric,1985,Croatian,Europe,9.5
758,Rafael van der Vaart,1983,Dutch,Europe,9.0
777,Gylfi Sigurdsson,1989,Icelandic,Europe,7.5
873,James Maddison,1996,English,Europe,10.0
